Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Xeon X5570,Gainestown,4 / 8,2.933 to 3.333 GHz,Socket 1366,45 nm,8MB,95 W,"Mar 30th, 2009"
Core 2 Solo ULV SU3500,Penryn-L,1,1400 MHz,BGA 956,45 nm,,5 W,"Mar 29th, 2009"
Core 2 Duo E8135,Penryn,2,2.667 GHz,Socket P,45 nm,,44 W,"Mar 3rd, 2009"
Core 2 Duo E8235,Penryn,2,2.8 GHz,Socket P,45 nm,,44 W,"Mar 3rd, 2009"
Core 2 Duo E8335,Penryn,2,2.933 GHz,Socket P,45 nm,,44 W,"Mar 3rd, 2009"
Athlon II X3 455,Rana,3,3.3 GHz,Socket AM3,45 nm,,95 W,"Dec 7th, 2010"
Phenom II X2 565 BE,Callisto,2,3.4 GHz,Socket AM3,45 nm,6MB,80 W,"Dec 7th, 2010"
Phenom II X6 1065T,Thuban,6,2.9 to 3.4 GHz,Socket AM3,45 nm,6MB,125 W,"Dec 7th, 2010"
Phenom II X6 1100T BE,Thuban,6,3.3 to 3.7 GHz,Socket AM3,45 nm,6MB,125 W,"Dec 7th, 2010"
Sempron 150,Sargas,1,2.9 GHz,Socket AM3,45 nm,,45 W,"Dec 7th, 2010"
Phenom II X3 715 BE,Heka,3,2.8 GHz,Socket AM2+,45 nm,6MB,95 W,"Oct 1st, 2010"
Phenom II X4 970 BE,Zosma,4,3.5 GHz,Socket AM3,45 nm,6MB,125 W,"Oct 1st, 2010"
Athlon II X2 210e,Regor,2,2.6 GHz,Socket AM3,45 nm,,45 W,"Sep 21st, 2010"
Athlon II X2 220,Regor,2,2.8 GHz,Socket AM3,45 nm,,65 W,"Sep 21st, 2010"
Athlon II X2 250e,Regor,2,3 GHz,Socket AM3,45 nm,,45 W,"Sep 21st, 2010"
Athlon II X2 265,Regor,2,3.3 GHz,Socket AM3,45 nm,,65 W,"Sep 21st, 2010"
Athlon II X2 270u,Regor,2,2000 MHz,Socket AM3,45 nm,,25 W,"Sep 21st, 2010"
Athlon II X3 420e,Rana,3,2.6 GHz,Socket AM3,45 nm,,45 W,"Sep 21st, 2010"
Athlon II X3 450,Rana,3,3.2 GHz,Socket AM3,45 nm,,95 W,"Sep 21st, 2010"
Athlon II X4 615e,Propus,4,2.5 GHz,Socket AM3,45 nm,,45 W,"Sep 21st, 2010"
Athlon II X4 645,Propus,4,3.1 GHz,Socket AM3,45 nm,,95 W,"Sep 21st, 2010"
Phenom II X2 560 BE,Callisto,2,3.3 GHz,Socket AM3,45 nm,6MB,80 W,"Sep 21st, 2010"
Phenom II X4 970 BE,Deneb,4,3.5 GHz,Socket AM3,45 nm,6MB,125 W,"Sep 21st, 2010"
Phenom II X6 1075T,Thuban,6,3 to 3.5 GHz,Socket AM3,45 nm,6MB,125 W,"Sep 21st, 2010"
Phenom II X4 840T,Zosma,4,2.9 to 3.2 GHz,Socket AM3,45 nm,6MB,95 W,"Sep 1st, 2010"
Phenom II X6 1045T,Thuban,6,2.7 to 3.2 GHz,Socket AM3,45 nm,6MB,95 W,"Sep 1st, 2010"
Sempron 145,Sargas,1,2.8 GHz,Socket AM3,45 nm,,45 W,"Sep 1st, 2010"
Sempron 180,Regor,2,2.4 GHz,Socket AM3,45 nm,,45 W,"Sep 1st, 2010"
Phenom II X4 960T BE,Zosma,4,3 to 3.4 GHz,Socket AM3,45 nm,6MB,95 W,"Jun 1st, 2010"
Athlon II X2 245e,Regor,2,2.9 GHz,Socket AM3,45 nm,,45 W,"May 11th, 2010"
Athlon II X2 260,Regor,2,3.2 GHz,Socket AM3,45 nm,,65 W,"May 11th, 2010"
Athlon II X3 415e,Rana,3,2.5 GHz,Socket AM3,45 nm,,45 W,"May 11th, 2010"
Athlon II X3 445,Rana,3,3.1 GHz,Socket AM3,45 nm,,95 W,"May 11th, 2010"
Athlon II X4 610e,Propus,4,2.4 GHz,Socket AM3,45 nm,,45 W,"May 11th, 2010"
Athlon II X4 640,Propus,4,3 GHz,Socket AM3,45 nm,,95 W,"May 11th, 2010"
Phenom II X2 B57,Callisto,2,3.2 GHz,Socket AM3,45 nm,6MB,80 W,"May 11th, 2010"
Phenom II X3 B77,Heka,3,3.2 GHz,Socket AM3,45 nm,6MB,95 W,"May 11th, 2010"
Phenom II X4 B97,Deneb,4,3.2 GHz,Socket AM3,45 nm,6MB,95 W,"May 11th, 2010"
Phenom II X2 570 BE,Callisto,2,3.5 GHz,Socket AM3,45 nm,6MB,80 W,"May 3rd, 2010"
Phenom II X6 1055T (95W),Thuban,6,2.8 to 3.3 GHz,Socket AM3,45 nm,6MB,95 W,"May 1st, 2010"
Phenom II X6 1035T,Thuban,6,2.6 to 3.1 GHz,Socket AM3,45 nm,6MB,95 W,"Apr 27th, 2010"
Phenom II X6 1055T (125W),Thuban,6,2.8 to 3.3 GHz,Socket AM3,45 nm,6MB,125 W,"Apr 27th, 2010"
Phenom II X6 1090T BE,Thuban,6,3.2 to 3.6 GHz,Socket AM3,45 nm,6MB,125 W,"Apr 27th, 2010"
Opteron 6168,Magny-Cours,12,1900 MHz,Socket G34,45 nm,12MB,115 W,"Mar 29th, 2010"
Pentium E5800,Wolfdale,2,3.2 GHz,Socket 775,45 nm,,65 W,"Nov 28th, 2010"
Atom E625C,Stellarton,1 / 2,600 MHz,BGA 1466,45 nm,,3 W,"Nov 22nd, 2010"
Atom E625CT,Stellarton,1 / 2,600 MHz,BGA 1466,45 nm,,3 W,"Nov 22nd, 2010"
Atom E645C,Stellarton,1 / 2,1000 MHz,BGA 1466,45 nm,,4 W,"Nov 22nd, 2010"
Atom E645CT,Stellarton,1 / 2,1000 MHz,BGA 1466,45 nm,,4 W,"Nov 22nd, 2010"
Atom E665C,Stellarton,1 / 2,1300 MHz,BGA 1466,45 nm,,4 W,"Nov 22nd, 2010"
Atom E665CT,Stellarton,1 / 2,1300 MHz,BGA 1466,45 nm,,7 W,"Nov 22nd, 2010"
Core i3-380M,Arrandale,2 / 4,2.534 GHz,Socket G1,32 nm,3MB,35 W,"Oct 26th, 2010"
Core i5-450M,Arrandale,2 / 4,2.4 to 2.666 GHz,Socket G1,32 nm,3MB,35 W,"Sep 26th, 2010"
Core i5-460M,Arrandale,2 / 4,2.534 to 2.8 GHz,Socket G1,32 nm,3MB,35 W,"Sep 26th, 2010"
Core i5-560M,Arrandale,2 / 4,2.667 to 3.2 GHz,Socket G1,32 nm,3MB,35 W,"Sep 26th, 2010"
Core i5-580M,Arrandale,2 / 4,2.667 to 3.333 GHz,Socket G1,32 nm,3MB,35 W,"Sep 26th, 2010"
Pentium P6100,Arrandale,2,2000 MHz,Socket G1,32 nm,3MB,35 W,"Sep 26th, 2010"
Pentium P6200,Arrandale,2,2.133 GHz,Socket G1,32 nm,3MB,35 W,"Sep 26th, 2010"
Atom E620,Tunnel Creek,1 / 2,600 MHz,BGA 676,45 nm,,3 W,"Sep 14th, 2010"
Atom E620T,Tunnel Creek,1 / 2,600 MHz,BGA 676,45 nm,,3 W,"Sep 14th, 2010"
Atom E640,Tunnel Creek,1 / 2,1000 MHz,BGA 676,45 nm,,3 W,"Sep 14th, 2010"
Atom E640T,Tunnel Creek,1 / 2,1000 MHz,BGA 676,45 nm,,3 W,"Sep 14th, 2010"
Atom E660,Tunnel Creek,1 / 2,1300 MHz,BGA 676,45 nm,,3 W,"Sep 14th, 2010"
Atom E660T,Tunnel Creek,1 / 2,1300 MHz,BGA 676,45 nm,,3 W,"Sep 14th, 2010"
Atom E680,Tunnel Creek,1 / 2,1600 MHz,BGA 676,45 nm,,4 W,"Sep 14th, 2010"
Atom E680T,Tunnel Creek,1 / 2,1600 MHz,BGA 676,45 nm,,4 W,"Sep 14th, 2010"
