Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Celeron G540T,Sandy Bridge,2,2.1 GHz,Socket 1155,32 nm,2MB,35 W,"Sep 4th, 2011"
Celeron G550T,Sandy Bridge,2,2.2 GHz,Socket 1155,32 nm,2MB,35 W,"Sep 4th, 2011"
Core i3-2120T,Sandy Bridge,2 / 4,2.6 GHz,Socket 1155,32 nm,3MB,35 W,"Sep 4th, 2011"
Core i3-2125,Sandy Bridge,2 / 4,3.3 GHz,Socket 1155,32 nm,3MB,65 W,"Sep 4th, 2011"
Core i3-2130,Sandy Bridge,2 / 4,3.4 GHz,Socket 1155,32 nm,3MB,65 W,"Sep 4th, 2011"
Core i5-2320,Sandy Bridge,4,3 to 3.3 GHz,Socket 1155,32 nm,6MB,95 W,"Sep 4th, 2011"
Core i7-2760QM,Sandy Bridge,4 / 8,2.4 to 3.5 GHz,Socket G2 (988B),32 nm,6MB,45 W,"Sep 4th, 2011"
Core i7-2760QM,Sandy Bridge,4 / 8,2.4 to 3.5 GHz,BGA 1224,32 nm,6MB,45 W,"Sep 4th, 2011"
Core i7-2860QM,Sandy Bridge,4 / 8,2.5 to 3.6 GHz,BGA 1224,32 nm,8MB,45 W,"Sep 4th, 2011"
Core i7-2860QM,Sandy Bridge,4 / 8,2.5 to 3.6 GHz,Socket G2 (988B),32 nm,8MB,45 W,"Sep 4th, 2011"
Core i7-2960XM,Sandy Bridge,4 / 8,2.7 to 3.7 GHz,Socket G2 (988B),32 nm,8MB,55 W,"Sep 4th, 2011"
Pentium G630,Sandy Bridge,2,2.7 GHz,Socket 1155,32 nm,3MB,65 W,"Sep 4th, 2011"
Pentium G630T,Sandy Bridge,2,2.3 GHz,Socket 1155,32 nm,3MB,35 W,"Sep 4th, 2011"
Pentium G632,Sandy Bridge,2,2.7 GHz,Socket 1155,32 nm,3MB,65 W,"Sep 4th, 2011"
Pentium G860,Sandy Bridge,2,3 GHz,Socket 1155,32 nm,3MB,65 W,"Sep 4th, 2011"
Core i3-2312M,Sandy Bridge,2 / 4,2.1 GHz,BGA 1023,32 nm,3MB,35 W,"Sep 1st, 2011"
Core i3-2332M,Sandy Bridge,2 / 4,2.2 GHz,Socket G2 (988B),32 nm,3MB,35 W,"Sep 1st, 2011"
Core i5-2415M,Sandy Bridge,2 / 4,2.3 GHz,BGA 1023,32 nm,3MB,35 W,"Sep 1st, 2011"
Core i5-2435M,Sandy Bridge,2 / 4,2.4 GHz,Socket G2 (988B),32 nm,3MB,35 W,"Sep 1st, 2011"
Core i5-2435M,Sandy Bridge,2 / 4,2.4 GHz,BGA 1023,32 nm,3MB,35 W,"Sep 1st, 2011"
Celeron 725C,Sandy Bridge,1,1300 MHz,BGA 1023,32 nm,1.5MB,17 W,"Jul 1st, 2011"
Celeron 787,Sandy Bridge,1,1300 MHz,BGA 1023,32 nm,1.5MB,17 W,"Jul 1st, 2011"
Celeron 857,Sandy Bridge,2,1200 MHz,BGA 1023,32 nm,2MB,17 W,"Jul 1st, 2011"
Celeron B840,Sandy Bridge,2,1900 MHz,Socket G2 (988B),32 nm,2MB,35 W,"Jul 1st, 2011"
Core i7-980,Gulftown,6 / 12,3.333 to 3.6 GHz,Socket 1366,32 nm,12MB,130 W,"Jun 26th, 2011"
Celeron 847,Sandy Bridge,2,1100 MHz,BGA 1023,32 nm,2MB,17 W,"Jun 19th, 2011"
Celeron B710,Sandy Bridge,1,1600 MHz,Socket G2 (988B),32 nm,1.5MB,35 W,"Jun 19th, 2011"
Celeron B800,Sandy Bridge,2,1500 MHz,Socket G2 (988B),32 nm,2MB,35 W,"Jun 19th, 2011"
Pentium 957,Sandy Bridge,2,1200 MHz,BGA 1023,32 nm,2MB,17 W,"Jun 19th, 2011"
Pentium B940,Sandy Bridge,2,2000 MHz,Socket G2 (988B),32 nm,2MB,35 W,"Jun 19th, 2011"
Pentium B950,Sandy Bridge,2,2.1 GHz,Socket G2 (988B),32 nm,2MB,35 W,"Jun 19th, 2011"
Core i3-2102,Sandy Bridge,2 / 4,3.1 GHz,Socket 1155,32 nm,3MB,65 W,"Jun 1st, 2011"
Opteron 3320 EE,Delhi,4,1.9 to 2.5 GHz,Socket AM3+,32 nm,8MB,25 W,"Dec 4th, 2012"
Opteron 3350 HE,Delhi,4,2.8 to 3.8 GHz,Socket AM3+,32 nm,8MB,45 W,"Dec 4th, 2012"
Opteron 3380,Delhi,8,2.6 to 3.6 GHz,Socket AM3+,32 nm,8MB,65 W,"Dec 4th, 2012"
Opteron 4310 EE,Seoul,4,2.2 to 3 GHz,Socket C32,32 nm,8MB,35 W,"Dec 4th, 2012"
Opteron 4332 HE,Seoul,6,3 to 3.7 GHz,Socket C32,32 nm,8MB,65 W,"Dec 4th, 2012"
Opteron 4334,Seoul,6,3.1 to 3.5 GHz,Socket C32,32 nm,8MB,95 W,"Dec 4th, 2012"
Opteron 4340,Seoul,6,3.5 to 3.8 GHz,Socket C32,32 nm,8MB,95 W,"Dec 4th, 2012"
Opteron 4376 HE,Seoul,8,2.6 to 3.6 GHz,Socket C32,32 nm,8MB,65 W,"Dec 4th, 2012"
Opteron 4386,Seoul,8,3.1 to 3.8 GHz,Socket C32,32 nm,8MB,95 W,"Dec 4th, 2012"
Opteron 43CX EE,Seoul,4,2.2 to 3 GHz,Socket C32,32 nm,8MB,35 W,"Dec 4th, 2012"
Opteron 43GK HE,Seoul,8,2.6 to 3.6 GHz,Socket C32,32 nm,8MB,65 W,"Dec 4th, 2012"
Opteron 6348,Abu Dhabi,12,2.8 to 3.4 GHz,Socket G34,32 nm,8MB,115 W,"Nov 5th, 2012"
Opteron 6366 HE,Abu Dhabi,16,1.8 to 3.1 GHz,Socket G34,32 nm,8MB,85 W,"Nov 5th, 2012"
Opteron 6376,Abu Dhabi,16,2.3 to 3.2 GHz,Socket G34,32 nm,8MB,115 W,"Nov 5th, 2012"
Opteron 6378,Abu Dhabi,16,2.4 to 3.3 GHz,Socket G34,32 nm,8MB,115 W,"Nov 5th, 2012"
Opteron 6380,Abu Dhabi,16,2.5 to 3.4 GHz,Socket G34,32 nm,8MB,115 W,"Nov 5th, 2012"
Opteron 6386 SE,Abu Dhabi,16,2.8 to 3.5 GHz,Socket G34,32 nm,8MB,140 W,"Nov 5th, 2012"
FX-4120,Zambezi,4,3.9 to 4.1 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 23rd, 2012"
FX-4150,Zambezi,4,3.8 to 4 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 23rd, 2012"
FX-4300,Vishera,4,3.8 to 4 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 23rd, 2012"
FX-4320,Vishera,4,4 to 4.2 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 23rd, 2012"
FX-6120,Zambezi,6,3.6 to 4.2 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 23rd, 2012"
FX-6130,Zambezi,6,3.6 to 3.9 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 23rd, 2012"
FX-6300,Vishera,6,3.5 to 4.1 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 23rd, 2012"
FX-8140,Zambezi,8,3.2 to 4.1 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 23rd, 2012"
FX-8170,Zambezi,8,3.9 to 4.5 GHz,Socket AM3+,32 nm,8MB,125 W,"Oct 23rd, 2012"
FX-8300,Vishera,8,3.3 to 3.9 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 23rd, 2012"
FX-8320,Vishera,8,3.5 to 4 GHz,Socket AM3+,32 nm,8MB,125 W,"Oct 23rd, 2012"
FX-8350,Vishera,8,4 to 4.2 GHz,Socket AM3+,32 nm,8MB,125 W,"Oct 23rd, 2012"
Z-60,Hondo,2,1000 MHz,Socket FT1,40 nm,,5 W,"Oct 9th, 2012"
A10-5700,Trinity,4,3.4 to 4 GHz,Socket FM2,32 nm,,65 W,"Oct 2nd, 2012"
A10-5800B,Trinity,4,3.8 to 4.2 GHz,Socket FM2,32 nm,,100 W,"Oct 2nd, 2012"
A10-5800K,Trinity,4,3.8 to 4.2 GHz,Socket FM2,32 nm,,100 W,"Oct 2nd, 2012"
A4-5300,Trinity,2,3.4 to 3.6 GHz,Socket FM2,32 nm,,65 W,"Oct 2nd, 2012"
A4-5300B,Trinity,2,3.4 to 3.6 GHz,Socket FM2,32 nm,,65 W,"Oct 2nd, 2012"
A6-5400B,Trinity,2,3.6 to 3.8 GHz,Socket FM2,32 nm,,65 W,"Oct 2nd, 2012"
A6-5400K,Trinity,2,3.6 to 3.8 GHz,Socket FM2,32 nm,,65 W,"Oct 2nd, 2012"
A8-5500,Trinity,4,3.2 to 3.7 GHz,Socket FM2,32 nm,,65 W,"Oct 2nd, 2012"
A8-5500B,Trinity,4,3.2 to 3.7 GHz,Socket FM2,32 nm,,65 W,"Oct 2nd, 2012"
A8-5600K,Trinity,4,3.6 to 3.9 GHz,Socket FM2,32 nm,,100 W,"Oct 2nd, 2012"
Athlon X2 340,Trinity,2,3.2 to 3.6 GHz,Socket FM2,32 nm,,65 W,"Oct 2nd, 2012"
Athlon X4 730,Trinity,4,2.8 to 3.2 GHz,Socket FM2,32 nm,,65 W,"Oct 2nd, 2012"
Athlon X4 740,Trinity,4,3.2 to 3.7 GHz,Socket FM2,32 nm,,65 W,"Oct 2nd, 2012"
Athlon X4 750K,Trinity,4,3.4 to 4 GHz,Socket FM2,32 nm,,100 W,"Oct 2nd, 2012"
Sempron X2 240,Trinity,2,2.9 to 3.3 GHz,Socket FM2,32 nm,,65 W,2012
A4-4355M,Trinity,2,1.9 to 2.4 GHz,Socket FP2,32 nm,,17 W,"Sep 27th, 2012"
A8-4555M,Trinity,4,1.6 to 2.4 GHz,Socket FP2,32 nm,,19 W,"Sep 27th, 2012"
C-70,Ontario,2,1000 to 1333 MHz,Socket FT1,40 nm,,9 W,"Sep 1st, 2012"
FirePro A320,Trinity,4,3.8 to 4.2 GHz,Socket FM2,32 nm,,100 W,"Aug 7th, 2012"
Atom S1220,Centerton,2 / 4,1600 MHz,BGA 1283,32 nm,,8 W,"Dec 11th, 2012"
Atom S1240,Centerton,2 / 4,1600 MHz,BGA 1283,32 nm,,6 W,"Dec 11th, 2012"
Atom S1260,Centerton,2 / 4,2000 MHz,BGA 1283,32 nm,,9 W,"Dec 11th, 2012"
Celeron G1610,Ivy Bridge,2,2.6 GHz,Socket 1155,22 nm,2MB,55 W,"Dec 3rd, 2012"
Celeron G1610T,Ivy Bridge,2,2.3 GHz,Socket 1155,22 nm,2MB,35 W,"Dec 3rd, 2012"
Celeron G1620,Ivy Bridge,2,2.7 GHz,Socket 1155,22 nm,2MB,55 W,"Dec 3rd, 2012"
Xeon Phi 3110X,Knights Corner,61 / 244,1053 MHz,PCIe x16,22 nm,,300 W,"Nov 12th, 2012"
Xeon Phi 5110P,Knights Corner,60 / 240,1053 MHz,PCIe x16,22 nm,,225 W,"Nov 12th, 2012"
Xeon Phi 7110P,Knights Corner,61 / 244,1250 MHz,PCIe x16,22 nm,,300 W,"Nov 12th, 2012"
Xeon Phi 7110X,Knights Corner,61 / 244,1250 MHz,PCIe x16,22 nm,,300 W,"Nov 12th, 2012"
Xeon Phi SE10P,Knights Corner,61 / 244,1100 MHz,PCIe x16,22 nm,,300 W,"Nov 12th, 2012"
Xeon Phi SE10X,Knights Corner,61 / 244,1100 MHz,PCIe x16,22 nm,,300 W,"Nov 12th, 2012"
Core i5-3335S,Ivy Bridge,4,2.7 to 3.2 GHz,Socket 1155,22 nm,6MB,65 W,"Nov 1st, 2012"
Core i5-3365M,Ivy Bridge,2 / 4,2.8 to 3.5 GHz,BGA 1023,22 nm,3MB,35 W,"Nov 1st, 2012"
Core i7-3525M,Ivy Bridge,2 / 4,2.9 to 3.6 GHz,BGA 1023,22 nm,4MB,35 W,"Nov 1st, 2012"
Core i7-3970X,Sandy Bridge-E,6 / 12,3.5 to 4 GHz,Socket 2011,32 nm,15MB,150 W,"Nov 1st, 2012"
Core i7-3632QM,Ivy Bridge,4 / 8,2.2 to 3.2 GHz,Socket G2 (988B),22 nm,6MB,35 W,"Oct 19th, 2012"
Core i7-3632QM,Ivy Bridge,4 / 8,2.2 to 3.2 GHz,BGA 1224,22 nm,6MB,35 W,"Oct 19th, 2012"
Core i3-3120M,Ivy Bridge,2 / 4,2.5 GHz,Socket G2 (988B),22 nm,3MB,35 W,"Sep 30th, 2012"
Core i3-3120M,Ivy Bridge,2 / 4,2.5 GHz,BGA 1023,22 nm,3MB,35 W,"Sep 30th, 2012"
Atom Z2760,Cloverview,2,1800 MHz,BGA 617,32 nm,,3 W,"Sep 27th, 2012"
Core i3-3220,Ivy Bridge,2 / 4,3.3 GHz,Socket 1155,22 nm,3MB,55 W,"Sep 3rd, 2012"
Core i3-3220T,Ivy Bridge,2 / 4,2.8 GHz,Socket 1155,22 nm,3MB,35 W,"Sep 3rd, 2012"
Core i3-3225,Ivy Bridge,2 / 4,3.3 GHz,Socket 1155,22 nm,3MB,55 W,"Sep 3rd, 2012"
Core i3-3240,Ivy Bridge,2 / 4,3.4 GHz,Socket 1155,22 nm,3MB,55 W,"Sep 3rd, 2012"
Core i3-3240T,Ivy Bridge,2 / 4,3 GHz,Socket 1155,22 nm,3MB,35 W,"Sep 3rd, 2012"
Core i5-3330,Ivy Bridge,4,3 to 3.2 GHz,Socket 1155,22 nm,6MB,77 W,"Sep 3rd, 2012"
Core i5-3330S,Ivy Bridge,4,2.7 to 3.2 GHz,Socket 1155,22 nm,6MB,77 W,"Sep 3rd, 2012"
Core i5-3350P,Ivy Bridge,4,3.1 to 3.3 GHz,Socket 1155,22 nm,6MB,69 W,"Sep 3rd, 2012"
Core i7-3740QM,Ivy Bridge,4 / 8,2.7 to 3.7 GHz,Socket G2 (988B),22 nm,6MB,45 W,"Sep 3rd, 2012"
Core i7-3740QM,Ivy Bridge,4 / 8,2.7 to 3.7 GHz,BGA 1224,22 nm,6MB,45 W,"Sep 3rd, 2012"
Core i7-3840QM,Ivy Bridge,4 / 8,2.8 to 3.8 GHz,Socket G2 (988B),22 nm,8MB,45 W,"Sep 3rd, 2012"
Core i7-3840QM,Ivy Bridge,4 / 8,2.8 to 3.8 GHz,BGA 1224,22 nm,8MB,45 W,"Sep 3rd, 2012"
Core i7-3940XM,Ivy Bridge,4 / 8,3 to 3.9 GHz,Socket G2 (988B),22 nm,8MB,55 W,"Sep 3rd, 2012"
Pentium G2100T,Ivy Bridge,2,2.6 GHz,Socket 1155,22 nm,3MB,35 W,"Sep 3rd, 2012"
Pentium G2120,Ivy Bridge,2,3.1 GHz,Socket 1155,22 nm,3MB,55 W,"Sep 3rd, 2012"
Pentium G645,Sandy Bridge,2,2.9 GHz,Socket 1155,32 nm,3MB,65 W,"Sep 2nd, 2012"
Pentium G645T,Sandy Bridge,2,2.5 GHz,Socket 1155,32 nm,3MB,35 W,"Sep 2nd, 2012"
Celeron 887,Sandy Bridge,2,1500 MHz,BGA 1023,32 nm,2MB,17 W,"Sep 1st, 2012"
Celeron B830,Sandy Bridge,2,1800 MHz,Socket G2 (988B),32 nm,2MB,35 W,"Sep 1st, 2012"
Celeron G465,Sandy Bridge,1,1900 MHz,Socket 1155,32 nm,1.5MB,35 W,"Sep 1st, 2012"
Celeron G555,Sandy Bridge,2,2.7 GHz,Socket 1155,32 nm,2MB,65 W,"Sep 1st, 2012"
Core i3-2328M,Sandy Bridge,2 / 4,2.2 GHz,Socket G2 (988B),32 nm,3MB,35 W,"Sep 1st, 2012"
Core i3-2377M,Sandy Bridge,2 / 4,1500 MHz,BGA 1023,32 nm,3MB,17 W,"Sep 1st, 2012"
Core i7-3630QM,Ivy Bridge,4 / 8,2.4 to 3.4 GHz,Socket G2 (988B),22 nm,6MB,45 W,"Sep 1st, 2012"
Core i7-3635QM,Ivy Bridge,4 / 8,2.4 to 3.4 GHz,BGA 1224,22 nm,6MB,45 W,"Sep 1st, 2012"
Pentium 2020M,Ivy Bridge,2,2.4 GHz,Socket G2 (988B),22 nm,2MB,35 W,"Sep 1st, 2012"
Pentium 2117U,Ivy Bridge,2,1800 MHz,BGA 1023,22 nm,2MB,17 W,"Sep 1st, 2012"
Pentium 2117U,Ivy Bridge,2,1800 MHz,Socket G2 (988B),22 nm,2MB,17 W,"Sep 1st, 2012"
Pentium 2129Y,Ivy Bridge,2,1100 MHz,BGA 1023,22 nm,2MB,10 W,"Sep 1st, 2012"
Pentium 997,Sandy Bridge,2,1600 MHz,BGA 1023,32 nm,2MB,17 W,"Sep 1st, 2012"
Pentium B980,Sandy Bridge,2,2.4 GHz,Socket G2 (988B),32 nm,2MB,35 W,"Sep 1st, 2012"
A4-6320,Richland,2,3.8 to 4 GHz,Socket FM2,32 nm,,65 W,Dec 2013
A10-6790B,Richland,4,4 to 4.3 GHz,Socket FM2,32 nm,,100 W,"Oct 28th, 2013"
A10-6790K,Richland,4,4 to 4.3 GHz,Socket FM2,32 nm,,100 W,"Oct 28th, 2013"
A4-1350,Temash,4,1000 MHz,Socket FT3,28 nm,,8 W,"Oct 18th, 2013"
Athlon X4 750,Richland,4,3.4 to 4 GHz,Socket FM2,32 nm,,65 W,Oct 2013
A10-6700T,Richland,4,2.5 to 3.5 GHz,Socket FM2,32 nm,,45 W,"Sep 16th, 2013"
A8-6500T,Richland,4,2.1 to 3.1 GHz,Socket FM2,32 nm,,45 W,"Sep 16th, 2013"
Celeron 2961Y,Haswell,2,1100 MHz,BGA 1168,22 nm,2MB,12 W,"Dec 1st, 2013"
Celeron G1820,Haswell,2,2.7 GHz,Socket 1150,22 nm,3MB,54 W,"Dec 1st, 2013"
Celeron G1820T,Haswell,2,2.4 GHz,Socket 1150,22 nm,3MB,54 W,"Dec 1st, 2013"
Celeron G1820TE,Haswell,2,2.2 GHz,Socket 1150,22 nm,3MB,54 W,"Dec 1st, 2013"
Celeron G1830,Haswell,2,2.8 GHz,Socket 1150,22 nm,3MB,54 W,"Dec 1st, 2013"
Celeron N2806,Bay Trail-M,2,1.58 to 2 GHz,BGA 1170,22 nm,,4 W,"Dec 1st, 2013"
Celeron N2820,Bay Trail-M,2,2.17 to 2.39 GHz,BGA 1170,22 nm,,7 W,"Dec 1st, 2013"
Celeron N2920,Bay Trail-M,4,1.86 to 2 GHz,BGA 1170,22 nm,,7 W,"Dec 1st, 2013"
Atom E3815,Bay Trail-I,1,1467 MHz,BGA 1170,22 nm,,5 W,"Oct 8th, 2013"
Atom E3825,Bay Trail-I,2,1333 MHz,BGA 1170,22 nm,,6 W,"Oct 8th, 2013"
Atom E3826,Bay Trail-I,2,1467 MHz,BGA 1170,22 nm,,7 W,"Oct 8th, 2013"
Atom E3827,Bay Trail-I,2,1750 MHz,BGA 1170,22 nm,,8 W,"Oct 8th, 2013"
Atom E3845,Bay Trail-I,4,1910 MHz,BGA 1170,22 nm,,10 W,"Oct 8th, 2013"
Atom Z3740,Bay Trail-T,4,1333 to 1867 MHz,BGA 1380,22 nm,,2 W,"Sep 27th, 2013"
Atom Z3770,Bay Trail-T,4,1.467 to 2.4 GHz,BGA 1380,22 nm,,8 W,"Sep 27th, 2013"
Celeron N2805,Bay Trail-M,2,1463 MHz,BGA 1170,22 nm,,4 W,"Sep 11th, 2013"
Celeron N2810,Bay Trail-M,2,2000 MHz,BGA 1170,22 nm,,7 W,"Sep 11th, 2013"
Celeron N2910,Bay Trail-M,4,1600 MHz,BGA 1170,22 nm,,7 W,"Sep 11th, 2013"
Xeon E5-1607 v2,Ivy Bridge-E,4,3 GHz,Socket 2011,22 nm,10MB,130 W,"Sep 10th, 2013"
Xeon E5-1620 v2,Ivy Bridge-E,4 / 8,3.7 to 3.9 GHz,Socket 2011,22 nm,10MB,130 W,"Sep 10th, 2013"
Xeon E5-1650 v2,Ivy Bridge-E,6 / 12,3.5 to 3.9 GHz,Socket 2011,22 nm,12MB,130 W,"Sep 10th, 2013"
Xeon E5-1660 v2,Ivy Bridge-E,6 / 12,3.7 to 4 GHz,Socket 2011,22 nm,15MB,130 W,"Sep 10th, 2013"
Xeon E5-1680 v2,Ivy Bridge-EP,8 / 16,3 to 3.9 GHz,Socket 2011,22 nm,25MB,130 W,"Sep 10th, 2013"
Core i3-4000M,Haswell,2 / 4,2.4 GHz,Socket G3,22 nm,3MB,37 W,"Sep 4th, 2013"
Core i3-4005U,Haswell,2 / 4,1700 MHz,BGA 1168,22 nm,3MB,15 W,"Sep 4th, 2013"
Core i3-4100E,Haswell,2 / 4,2.4 GHz,BGA 1364,22 nm,3MB,37 W,"Sep 4th, 2013"
Core i3-4102E,Haswell,2 / 4,1600 MHz,BGA 1364,22 nm,3MB,25 W,"Sep 4th, 2013"
Core i7-4960X,Ivy Bridge-E,6 / 12,3.6 to 4 GHz,Socket 2011,22 nm,15MB,130 W,"Sep 3rd, 2013"
Celeron 2950M,Haswell,2,2000 MHz,Socket G3,22 nm,2MB,37 W,"Sep 1st, 2013"
Celeron 2950M,Haswell,2,2000 MHz,Socket G2 (988B),22 nm,2MB,37 W,"Sep 1st, 2013"
Celeron 2955U,Haswell,2,1400 MHz,Socket G2 (988B),22 nm,2MB,15 W,"Sep 1st, 2013"
Celeron 2955U,Haswell,2,1400 MHz,Socket G3,22 nm,2MB,15 W,"Sep 1st, 2013"
Celeron 2980U,Haswell,2,1600 MHz,Socket G3,22 nm,2MB,15 W,"Sep 1st, 2013"
Celeron G1620T,Ivy Bridge,2,2.4 GHz,Socket 1155,22 nm,2MB,35 W,"Sep 1st, 2013"
Celeron G1630,Ivy Bridge,2,2.8 GHz,Socket 1155,22 nm,2MB,55 W,"Sep 1st, 2013"
Core i3-4130,Haswell,2 / 4,3.4 GHz,Socket 1150,22 nm,3MB,54 W,"Sep 1st, 2013"
Core i3-4130T,Haswell,2 / 4,2.9 GHz,Socket 1150,22 nm,3MB,35 W,"Sep 1st, 2013"
Core i3-4330,Haswell,2 / 4,3.5 GHz,Socket 1150,22 nm,4MB,54 W,"Sep 1st, 2013"
Core i3-4330T,Haswell,2 / 4,3 GHz,Socket 1150,22 nm,4MB,35 W,"Sep 1st, 2013"
Core i3-4340,Haswell,2 / 4,3.6 GHz,Socket 1150,22 nm,4MB,54 W,"Sep 1st, 2013"
Core i5-4300M,Haswell,2 / 4,2.6 to 3.6 GHz,Socket G3,22 nm,3MB,37 W,"Sep 1st, 2013"
Core i5-4330M,Haswell,2 / 4,2.8 to 3.8 GHz,Socket G3,22 nm,3MB,37 W,"Sep 1st, 2013"
Core i5-4440,Haswell,4,3.1 to 3.3 GHz,Socket 1150,22 nm,6MB,84 W,"Sep 1st, 2013"
Core i5-4440S,Haswell,4,2.8 to 3.3 GHz,Socket 1150,22 nm,6MB,65 W,"Sep 1st, 2013"
Core i7-4600M,Haswell,2 / 4,2.9 to 3.6 GHz,Socket G3,22 nm,4MB,37 W,"Sep 1st, 2013"
Core i7-4600U,Haswell-ULT,2 / 4,2.1 to 3.3 GHz,BGA 1168,22 nm,4MB,15 W,"Sep 1st, 2013"
Core i7-4771,Haswell,4 / 8,3.5 to 3.9 GHz,Socket 1150,22 nm,8MB,84 W,"Sep 1st, 2013"
Core i7-4820K,Ivy Bridge-E,4 / 8,3.7 to 3.9 GHz,Socket 2011,22 nm,10MB,130 W,"Sep 1st, 2013"
Core i7-4930K,Ivy Bridge-E,6 / 12,3.4 to 3.9 GHz,Socket 2011,22 nm,12MB,130 W,"Sep 1st, 2013"
Core i7-4960HQ,Crystalwell,4 / 8,2.6 to 3.8 GHz,BGA 1364,22 nm,8MB,47 W,"Sep 1st, 2013"
Core i7-4980HQ,Crystalwell,4 / 8,2.8 to 4 GHz,BGA 1364,22 nm,8MB,47 W,"Sep 1st, 2013"
Pentium 3550M,Haswell,2,2.3 GHz,Socket G3,22 nm,2MB,37 W,"Sep 1st, 2013"
Pentium 3556U,Haswell,2,1700 MHz,BGA 1168,22 nm,2MB,15 W,"Sep 1st, 2013"
Pentium 3560Y,Haswell,2,1200 MHz,BGA 1168,22 nm,2MB,12 W,"Sep 1st, 2013"
Pentium G3220,Haswell,2,3 GHz,Socket 1150,22 nm,3MB,54 W,"Sep 1st, 2013"
Pentium G3220T,Haswell,2,2.6 GHz,Socket 1150,22 nm,3MB,35 W,"Sep 1st, 2013"
Pentium G3420,Haswell,2,3.2 GHz,Socket 1150,22 nm,3MB,54 W,"Sep 1st, 2013"
Pentium G3420T,Haswell,2,2.7 GHz,Socket 1150,22 nm,3MB,35 W,"Sep 1st, 2013"
Pentium G3430,Haswell,2,3.3 GHz,Socket 1150,22 nm,3MB,54 W,"Sep 1st, 2013"
Xeon E5-2403 v2,Ivy Bridge-EN,4,1800 MHz,Socket 1356,22 nm,10MB,80 W,"Sep 1st, 2013"
Xeon E5-2407 v2,Ivy Bridge-EN,4,2.4 GHz,Socket 1356,22 nm,10MB,80 W,"Sep 1st, 2013"
Xeon E5-2420 v2,Ivy Bridge-EN,6 / 12,2.2 GHz,Socket 1356,22 nm,15MB,80 W,"Sep 1st, 2013"
Xeon E5-2430 v2,Ivy Bridge-EN,6 / 12,2.5 GHz,Socket 1356,22 nm,15MB,80 W,"Sep 1st, 2013"
Xeon E5-2440 v2,Ivy Bridge-EN,8 / 16,1900 MHz,Socket 1356,22 nm,20MB,95 W,"Sep 1st, 2013"
Xeon E5-2450 v2,Ivy Bridge-EN,8 / 16,2.5 GHz,Socket 1356,22 nm,20MB,95 W,"Sep 1st, 2013"
Xeon E5-2470 v2,Ivy Bridge-EN,10 / 20,2.4 GHz,Socket 1356,22 nm,25MB,95 W,"Sep 1st, 2013"
Xeon E5-2603 v2,Ivy Bridge-EP,4,1800 MHz,Socket 2011,22 nm,10MB,80 W,"Sep 1st, 2013"
Xeon E5-2609 v2,Ivy Bridge-EP,4,2.5 GHz,Socket 2011,22 nm,10MB,80 W,"Sep 1st, 2013"
Xeon E5-2620 v2,Ivy Bridge-EP,6 / 12,2.1 GHz,Socket 2011,22 nm,15MB,80 W,"Sep 1st, 2013"
Xeon E5-2630 v2,Ivy Bridge-EP,6 / 12,2.6 GHz,Socket 2011,22 nm,15MB,80 W,"Sep 1st, 2013"
Xeon E5-2630L v2,Ivy Bridge-EP,6 / 12,2.4 GHz,Socket 2011,22 nm,15MB,60 W,"Sep 1st, 2013"
Xeon E5-2637 v2,Ivy Bridge-EP,4 / 8,3.5 GHz,Socket 2011,22 nm,10MB,130 W,"Sep 1st, 2013"
Xeon E5-2640 v2,Ivy Bridge-EP,8 / 16,2000 MHz,Socket 2011,22 nm,20MB,95 W,"Sep 1st, 2013"
Xeon E5-2643 v2,Ivy Bridge-EP,6 / 12,3.5 GHz,Socket 2011,22 nm,15MB,130 W,"Sep 1st, 2013"
Xeon E5-2650 v2,Ivy Bridge-EP,8 / 16,2.6 to 3.4 GHz,Socket 2011,22 nm,20MB,95 W,"Sep 1st, 2013"
Xeon E5-2650L v2,Ivy Bridge-EP,10 / 20,1700 MHz,Socket 2011,22 nm,25MB,70 W,"Sep 1st, 2013"
Xeon E5-2660 v2,Ivy Bridge-EP,10 / 20,2.2 to 3 GHz,Socket 2011,22 nm,25MB,95 W,"Sep 1st, 2013"
Xeon E5-2667 v2,Ivy Bridge-EP,8 / 16,3.3 GHz,Socket 2011,22 nm,20MB,130 W,"Sep 1st, 2013"
Xeon E5-2670 v2,Ivy Bridge-EP,10 / 20,2.5 to 3.3 GHz,Socket 2011,22 nm,25MB,115 W,"Sep 1st, 2013"
Xeon E5-2680 v2,Ivy Bridge-EP,10 / 20,2.8 to 3.6 GHz,Socket 2011,22 nm,25MB,115 W,"Sep 1st, 2013"
